pdm_utils object.attribute,MySQL table.column,GenBank flat file BioPython object.attribute,PhagesDB API dictionary
Tmrna.id,tmrna.GeneID,N/A,N/A
Tmrna.name,tmrna.Name,SeqFeature qualifiers,N/A
Tmrna.genome_id,tmrna.PhageID,N/A,N/A
Tmrna.start,tmrna.Start,SeqFeature.location.start OR end,N/A
Tmrna.stop,tmrna.Stop,SeqFeature.location.start OR end,N/A
Tmrna.coordinate_format,N/A,N/A,N/A
Tmrna.orientation,tmrna.Orientation,SeqFeature.strand,N/A
Tmrna.parts,N/A,SeqFeature.location.parts,N/A
Tmrna.length,tmrna.Length,SeqFeature.location.start AND end,N/A
Tmrna.locus_tag,tmrna.LocusTag,"SeqFeature.qualifiers[""locus_tag""][0]",N/A
Tmrna.note,tmrna.Note,"SeqFeature.qualifiers[""note""][0]",N/A
Tmrna.seqfeature,N/A,SeqFeature,N/A
Tmrna.gene,N/A,"SeqFeature.qualifiers[""gene""][0]",N/A
Tmrna.peptide_tag,tmrna.PeptideTag,"SeqFeature.qualifiers[""note""][0]",N/A
