pdm_utils object.attribute,MySQL table.column,GenBank flat file BioPython object.attribute,PhagesDB API dictionary
Trna.id,trna.GeneID,N/A,N/A
Trna.name,trna.Name,SeqFeature qualifiers,N/A
Trna.genome_id,trna.PhageID,N/A,N/A
Trna.start,trna.Start,SeqFeature.location.start OR end,N/A
Trna.stop,trna.Stop,SeqFeature.location.start OR end,N/A
Trna.coordinate_format,N/A,N/A,N/A
Trna.orientation,trna.Orientation,SeqFeature.strand,N/A
Trna.parts,N/A,SeqFeature.location.parts,N/A
Trna.length,trna.Length,SeqFeature.location.start AND end,N/A
Trna.locus_tag,trna.LocusTag,"SeqFeature.qualifiers[""locus_tag""][0]",N/A
Trna.note,trna.Note,"SeqFeature.qualifiers[""note""][0]",N/A
Trna.seqfeature,N/A,SeqFeature,N/A
Trna.amino_acid,trna.AminoAcid,"SeqFeature.qualifiers[""product""][0]",N/A
Trna.anticodon,trna.Anticodon,"SeqFeature.qualifiers[""note""][0]",N/A
Trna.structure,trna.Structure,N/A,N/A
Trna.use,trna.Source,N/A,N/A
Trna.product,N/A,"SeqFeature.qualifiers[""product""][0]",N/A
Trna.gene,N/A,"SeqFeature.qualifiers[""gene""][0]",N/A
